movie_id,overview,popularity,release_date,title,vote_average,vote_count,genres,keywords,month,year,director,producer,actors,characters,tags
783461,"when her boyfriend loses a mobster's cash, savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",56.311,2022-02-04 00:00:00,looop lapeta,6.2,54.0,action comedy crime,"['remake','loooplapeta','saadesaati']",february,2022.0,tomtykwer,mukeshchhabra,taapseepannu tahirrajbhasin shreyadhanwanthary dibyendubhattacharya rajendrachawla,savi satya julia victor mamleshcharanchaddha,when her boyfriend loses a mobster s cash  savi races against the clock to save the day   if only she can break out of a curious cycle of dead ends  action comedy crime   remake   loooplapeta   saadesaati   taapseepannu tahirrajbhasin shreyadhanwanthary dibyendubhattacharya rajendrachawla savi satya julia victor mamleshcharanchaddha tomtykwer mukeshchhabra
592508,"a fearless, faithful albeit slightly forgetful mumbai cop, veer sooryavanshi, the chief of the anti-terrorism squad in india pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",45.077,2021-11-05 00:00:00,sooryavanshi,5.8,133.0,action crime thriller,"['police','sequel','policeofficer','copuniverse']",november,2021.0,rohitshetty,karanjohar,akshaykumar katrinakaif ajaydevgn ranveersingh jackieshroff,veersooryavanshi riasooryavanshi bajiraosingham sangram'simmba'bhalerao omarhafeez,a fearless  faithful albeit slightly forgetful mumbai cop  veer sooryavanshi  the chief of the anti terrorism squad in india pulls out all the stops and stunts to thwart a major conspiracy to attack his city  action crime thriller   police   sequel   policeofficer   copuniverse   akshaykumar katrinakaif ajaydevgn ranveersingh jackieshroff veersooryavanshi riasooryavanshi bajiraosingham sangram simmba bhalerao omarhafeez rohitshetty karanjohar
864692,"a soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",47.611,2023-01-25 00:00:00,pathaan,6.7,70.0,action adventure thriller,"['spy','fakedeath','spythriller','spyuniverse','yrfspyuniverse']",january,2023.0,siddharthanand,adityachopra,shahrukhkhan deepikapadukone johnabraham dimplekapadia ashutoshrana,pathaan rubinamohsin jim nandini colonelsunilluthra,a soldier caught by enemies and presumed dead comes back to complete his mission  accompanied by old companions and foes  action adventure thriller   spy   fakedeath   spythriller   spyuniverse   yrfspyuniverse   shahrukhkhan deepikapadukone johnabraham dimplekapadia ashutoshrana pathaan rubinamohsin jim nandini colonelsunilluthra siddharthanand adityachopra
1018228,a flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt — but the plan spins into a mayhem when the plane gets hijacked.,43.789,2023-03-24 00:00:00,chor nikal ke bhaga,7.2,55.0,crime thriller,"['heist','airplanehijacking']",march,2023.0,ajaysingh,dineshvijan,yamigautam sunnykaushal sharadkelkar indraneilsengupta barunchanda,nehagrover ankitsethi parvezshaikh sudhanshuroy homeministerharishsanyal,a flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt   but the plan spins into a mayhem when the plane gets hijacked  crime thriller   heist   airplanehijacking   yamigautam sunnykaushal sharadkelkar indraneilsengupta barunchanda nehagrover ankitsethi parvezshaikh sudhanshuroy homeministerharishsanyal ajaysingh dineshvijan
20453,"rascal. joker. dreamer. genius... you've never met a college student quite like ""rancho."" from the moment he arrives at india's most prestigious university, rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. together, they make life miserable for ""virus,"" the school’s uptight and heartless dean. but when rancho catches the eye of the dean's sexy daughter, virus sets his sights on flunking out the ""3 idiots"" once and for all.",37.26,2009-12-25 00:00:00,3 idiots,8.0,2052.0,drama comedy,"['suicide','suicideattempt','college','musical','slapstickcomedy','friends','engineering','comingofage','subjectivecamera']",december,2009.0,vinaywaikul,rahulnanda,aamirkhan r.madhavan sharmanjoshi kareenakapoorkhan bomanirani,rancho farhanqureshi rajurastogi pia viru'virus'sahastrabudhhe,rascal  joker  dreamer  genius    you ve never met a college student quite like  rancho   from the moment he arrives at india s most prestigious university  rancho s outlandish schemes turn the campus upside down along with the lives of his two newfound best friends  together  they make life miserable for  virus   the school s uptight and heartless dean  but when rancho catches the eye of the dean s sexy daughter  virus sets his sights on flunking out the  3 idiots  once and for all  drama comedy   suicide   suicideattempt   college   musical   slapstickcomedy   friends   engineering   comingofage   subjectivecamera   aamirkhan r madhavan sharmanjoshi kareenakapoorkhan bomanirani rancho farhanqureshi rajurastogi pia viru virus sahastrabudhhe vinaywaikul rahulnanda
26022,"rizwan khan, a muslim from the borivali section of mumbai, has asperger's syndrome. he marries a hindu single mother, mandira, in san francisco. after 9/11, rizwan is detained by authorities at lax who treat him as a terrorist because of his condition and his race.",31.062,2010-02-10 00:00:00,my name is khan,8.1,1133.0,drama romance,"['autism','mumbai(bombay),india','basedontruestory','prejudice','religion','disability',""asperger'ssyndrome"",'asianamerican']",february,2010.0,karanmalhotra,karanjohar,shahrukhkhan kajol jimmyshergill zarinawahab adarshgourav,rizwankhan mandira rizwan'sbrother rizwan'smother rizwan(15yearsold),rizwan khan  a muslim from the borivali section of mumbai  has asperger s syndrome  he marries a hindu single mother  mandira  in san francisco  after 9 11  rizwan is detained by authorities at lax who treat him as a terrorist because of his condition and his race  drama romance   autism   mumbai bombay  india   basedontruestory   prejudice   religion   disability   asperger ssyndrome   asianamerican   shahrukhkhan kajol jimmyshergill zarinawahab adarshgourav rizwankhan mandira rizwan sbrother rizwan smother rizwan 15yearsold  karanmalhotra karanjohar
19404,"raj is a rich, carefree, happy-go-lucky second generation nri. simran is the daughter of chaudhary baldev singh, who in spite of being an nri is very strict about adherence to indian values. simran has left for india to be married to her childhood fiancé. raj leaves for india with a mission at his hands, to claim his lady love under the noses of her whole family. thus begins a saga.",22.596,1995-10-19 00:00:00,dilwale dulhania le jayenge,8.6,4097.0,comedy drama romance,"[""family'sdailylife"",'familyhistory','love-haterelationship','familydrama','loveaffair']",october,1995.0,yashchopra,adityachopra,shahrukhkhan kajol amrishpuri anupamkher satishshah,rajmalhotra simransingh chaudhrybaldevsingh dharamvirmalhotra ajitsingh,raj is a rich  carefree  happy go lucky second generation nri  simran is the daughter of chaudhary baldev singh  who in spite of being an nri is very strict about adherence to indian values  simran has left for india to be married to her childhood fiancé  raj leaves for india with a mission at his hands  to claim his lady love under the noses of her whole family  thus begins a saga  comedy drama romance   family sdailylife   familyhistory   love haterelationship   familydrama   loveaffair   shahrukhkhan kajol amrishpuri anupamkher satishshah rajmalhotra simransingh chaudhrybaldevsingh dharamvirmalhotra ajitsingh yashchopra adityachopra
767377,"when a cynical ex-tv news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",21.147,2021-11-19 00:00:00,dhamaka,7.1,73.0,thriller drama crime,['remake'],november,2021.0,rammadhvani,ronniescrewvala,kartikaaryan amrutasubhash mrunalthakur sohammajumdar vikaskumar,arjunpathak ankitamalaskar saumyamehrapathak raghubeermhata/anandmhata praveenkamath,when a cynical ex tv news anchor gets an alarming call on his radio show  he sees a chance for a career comeback   but it may cost his conscience  thriller drama crime   remake   kartikaaryan amrutasubhash mrunalthakur sohammajumdar vikaskumar arjunpathak ankitamalaskar saumyamehrapathak raghubeermhata anandmhata praveenkamath rammadhvani ronniescrewvala
496331,"the story of shiva – a young man on the brink of an epic love, with a girl named isha. but their world is turned upside down when shiva learns that he has a mysterious connection to the brahmāstra... and a great power within him that he doesn’t understand just yet - the power of fire.",21.294,2022-09-09 00:00:00,brahmāstra part one: shiva,6.7,109.0,action adventure fantasy,"['mythology','superhero','astraverse']",september,2022.0,s.s.rajamouli,karanjohar,ranbirkapoor aliabhatt mouniroy amitabhbachchan nagarjunaakkineni,shiva ishachatterjee junoon guru artist(anishshetty),the story of shiva   a young man on the brink of an epic love  with a girl named isha  but their world is turned upside down when shiva learns that he has a mysterious connection to the brahmāstra    and a great power within him that he doesn t understand just yet   the power of fire  action adventure fantasy   mythology   superhero   astraverse   ranbirkapoor aliabhatt mouniroy amitabhbachchan nagarjunaakkineni shiva ishachatterjee junoon guru artist anishshetty  s s rajamouli karanjohar
534780,a series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,18.334,2018-10-05 00:00:00,andhadhun,7.6,396.0,crime thriller comedy,"['pianist','blindman','piano']",october,2018.0,sriramraghavan,sanjayroutray,ayushmannkhurrana radhikaapte tabu anildhawan rashmiagdekar,akash sophie simisinha pramodsinha daani,a series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him  crime thriller comedy   pianist   blindman   piano   ayushmannkhurrana radhikaapte tabu anildhawan rashmiagdekar akash sophie simisinha pramodsinha daani sriramraghavan sanjayroutray
